parameter,mean,sd,source,model,scale,best_package,best_setting,best_restart_idx,selection_score
alpha[MAHNOMEN],1.4774001836776733,0.2948816418647766,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[MARSHALL],1.5770580768585205,0.19366158545017242,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[MARTIN],1.2673319578170776,0.20819498598575592,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[MCLEOD],1.363395094871521,0.17110681533813477,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[MEEKER],1.3716329336166382,0.2272234559059143,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[MILLE LACS],1.3396694660186768,0.27411994338035583,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[MORRISON],1.2941687107086182,0.19311849772930145,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[MOWER],1.660529375076294,0.17063365876674652,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[MURRAY],1.6539970636367798,0.29511138796806335,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[NICOLLET],1.792049765586853,0.24057108163833618,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[NOBLES],1.6600887775421143,0.25505590438842773,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[NORMAN],1.408958911895752,0.2557127773761749,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[OLMSTED],1.3670867681503296,0.1375046968460083,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[OTTER TAIL],1.5769648551940918,0.19977439939975739,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[PENNINGTON],1.3796305656433105,0.2559305429458618,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[PINE],1.1237112283706665,0.21839085221290588,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[PIPESTONE],1.6597816944122314,0.24144627153873444,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[POLK],1.5978095531463623,0.2411554604768753,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[POPE],1.4387681484222412,0.27268871665000916,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[RAMSEY],1.236993432044983,0.11919638514518738,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[REDWOOD],1.7424452304840088,0.22903242707252502,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[RENVILLE],1.565760850906372,0.25587019324302673,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[RICE],1.7444859743118286,0.1814691424369812,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[ROCK],1.4496246576309204,0.2741033434867859,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[ROSEAU],1.6200031042099,0.16489611566066742,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[SCOTT],1.7251209020614624,0.17098891735076904,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[SHERBURNE],1.2675914764404297,0.19925056397914886,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[SIBLEY],1.3977844715118408,0.24198351800441742,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[ST LOUIS],0.9413266181945801,0.06596194952726364,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[STEARNS],1.5103329420089722,0.13329604268074036,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[STEELE],1.566267728805542,0.186981201171875,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[STEVENS],1.5855708122253418,0.27308809757232666,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[SWIFT],1.2901427745819092,0.239482581615448,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[TODD],1.5827587842941284,0.2577388882637024,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[TRAVERSE],1.7262619733810425,0.24152103066444397,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[WABASHA],1.691352128982544,0.2086930125951767,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[WADENA],1.4002443552017212,0.22782647609710693,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[WASECA],1.14254891872406,0.23861682415008545,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[WASHINGTON],1.3734841346740723,0.10170526057481766,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[WATONWAN],1.9347376823425293,0.25556227564811707,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[WILKIN],1.6158332824707031,0.2942008376121521,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[WINONA],1.6069715023040771,0.17161840200424194,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[WRIGHT],1.6121079921722412,0.1702519953250885,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
alpha[YELLOW MEDICINE],1.4145838022232056,0.2714258134365082,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
beta,-0.6636396050453186,0.05865908041596413,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
sd_y_log__,-0.31959256529808044,0.023466486483812332,Saved VI NumPyro-ELBO best (numpyro adam_100_mc restart 4),pymc_tutorial,unconstrained_for_positive_scales,numpyro,adam_100_mc,4,-1062.5693359375
