parameter,mean,sd,source,model,scale,best_package,best_setting,best_restart_idx,selection_score
theta[GOODHUE],5.310712086447993,0.1697309157399143,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[HENNEPIN],4.912712840314714,0.0725150827842995,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[HOUSTON],5.0541918836036945,0.2212456866201429,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[HUBBARD],4.711850948484956,0.23092681680700947,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[ISANTI],4.853014881794437,0.2569820709642202,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[ITASCA],4.686792234521333,0.18463409065987194,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[JACKSON],5.268036805660017,0.23056960607779228,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[KANABEC],4.911062888046131,0.2416384042138148,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[KANDIYOHI],5.245833408178838,0.2426422077654778,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[KITTSON],4.875551116393937,0.25550191472462314,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[KOOCHICHING],4.452956156179971,0.21256683659747194,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[LAC QUI PARLE],5.275691783550194,0.2718226747815233,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[LAKE],4.367235758847684,0.197873345827258,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[LAKE OF THE WOODS],5.021469764243864,0.24257600476663896,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[LE SUEUR],5.07335434018555,0.23212489281074267,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[LINCOLN],5.27887075896351,0.2413061532319781,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[LYON],5.2617317300464865,0.2034154670957297,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[MAHNOMEN],4.952912187678707,0.29112658041674777,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[MARSHALL],4.882733304795244,0.19657095211423417,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[MARTIN],4.761412821103364,0.21180874881797201,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[MCLEOD],4.8215342684696605,0.1744043682010259,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[MEEKER],4.8943590468154,0.23122931631963525,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[MILLE LACS],4.760478969016353,0.2714177080094037,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[MORRISON],4.79178885331905,0.19775984285080683,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[MOWER],5.132826658896763,0.1745102676144071,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[MURRAY],5.120366928002872,0.2912562548333854,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[NICOLLET],5.288042306909063,0.2415622439624362,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[NOBLES],5.149688552177844,0.2558475720353324,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[NORMAN],4.841739361540035,0.25668982599417206,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[OLMSTED],4.860754760098735,0.14123347250084847,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[OTTER TAIL],4.957139960010495,0.20362018117019567,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[PENNINGTON],4.747318011146263,0.2562341478345099,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[PINE],4.606537633075241,0.22020402516286142,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[PIPESTONE],5.091664968658617,0.2420332608156025,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[POLK],4.96119158825878,0.2422960641973279,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[POPE],4.932753536652827,0.2711911575208108,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[RAMSEY],4.751682205469887,0.12271331282342533,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[REDWOOD],5.184991135255349,0.22988941486919434,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[RENVILLE],4.984601480026592,0.2565748286643753,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[RICE],5.2464267803174085,0.1856802764749922,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[ROCK],4.9436197865230485,0.2722064149258937,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[ROSEAU],4.8984815890586075,0.1695540723788416,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[SCOTT],5.120436249568881,0.17535654220178018,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[SHERBURNE],4.808211805061345,0.20259733035519592,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[SIBLEY],4.914864514391928,0.24240234200759034,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[ST LOUIS],4.439974065043053,0.06825022410173613,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[STEARNS],4.986197461545896,0.1369784849354361,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[STEELE],5.106735601232466,0.19230332835285366,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[STEVENS],5.065641850982037,0.2731540880749165,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[SWIFT],4.80756187046657,0.24254627917842694,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[TODD],4.99884474828686,0.25605706384772675,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[TRAVERSE],5.149290257618999,0.24261751114646304,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[WABASHA],5.161278248679674,0.21222708242180532,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[WADENA],4.801106685791025,0.2302504996812444,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[WASECA],4.6156897916056705,0.2425269533563212,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[WASHINGTON],4.885372328963889,0.10447654071059684,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[WATONWAN],5.255028423694098,0.25636286722302115,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[WILKIN],5.081086338789169,0.2920690127741145,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[WINONA],5.047713873924419,0.17489944703277455,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[WRIGHT],5.124275348025765,0.17466978980554104,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
theta[YELLOW MEDICINE],4.9124958674634875,0.2722334443736499,Saved VI consensus best (pymc default_100_mc restart 0),price_nero_gelman_1996,unconstrained_for_positive_variances,pymc,default_100_mc,0,1.0187357520054041
